Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split,False_Positives
imbecile,s,unconscious_bias,cognitive_ability,cognitive_ability,"['person with mental impairment(...)', 'person with psychiatric disabilities(...)', 'dense(...)', 'ignorant(...)', 'lacking understanding(...)', 'reckless(...)', 'uninformed(...)', 'silly(...)']","['people with a mental impairment(...)', 'people with psychiatric disabilities(...)', 'dense(...)', 'ignorant(...)', 'lacking understanding(...)', 'reckless(...)', 'uninformed(...)', 'silly(...)']","['person with mental impairment(...)', 'person with psychiatric disabilities(...)', 'dense(...)', 'ignorant(...)', 'lacking understanding(...)', 'reckless(...)', 'uninformed(...)', 'silly(...)']",
retard,s,unconscious_bias,cognitive_ability,cognitive_ability,"['person with a learning disability(...)', 'reckless(...)', 'person with poor impulse control(...)', 'ignorant(...)', 'narrow-minded(...)']","['people with a learning disability(...)', 'reckless person(...)', 'person with poor impulse control(...)', 'ignorant person(...)', 'narrow-minded person(...)']","['person with a learning disability(...)', 'reckless(...)', 'person with poor impulse control(...)', 'ignorant(...)', 'narrow-minded(...)']",
simpleton,s,unconscious_bias,cognitive_ability,cognitive_ability,"['person with a learning disability(...)', 'person with learning disabilities(...)', 'dense(...)', 'ignorant(...)', 'lacking understanding(...)', 'reckless(...)', 'uninformed(...)', 'silly(...)']","['people with a learning disability(...)', 'people with learning disabilities(...)', 'dense(...)', 'ignorant(...)', 'lacking understanding(...)', 'reckless(...)', 'uninformed(...)', 'silly(...)']","['person with a learning disability(...)', 'person with learning disabilities(...)', 'dense(...)', 'ignorant(...)', 'lacking understanding(...)', 'reckless(...)', 'uninformed(...)', 'silly(...)']",
vegetable,s,unconscious_bias,cognitive_ability,cognitive_ability,"[""--- don't use for a person"", 'person with a learning disability(...)', 'person with mental disabilities(...)']","[""--- don't use for a person""]","[""--- don't use for a person"", 'person with a learning disability(...)', 'person with mental disabilities(...)']",
insanity,s,unconscious_bias,cognitive_perception,cognitive_perception,"['severe mental illness', 'psychosis', 'lack of impulse control', 'inability to distinguish fantasy from reality', 'folly(...)', 'unreasonableness(...)', 'recklessness(...)']","['people with a severe mental illness(...)', 'people who cannot distinguish fantasy from reality(...)', 'people who cannot conduct their affairs due to psychosis(...)', 'people subject to uncontrollable behavior(...)']","['severe mental illness', 'psychosis', 'lack of impulse control', 'inability to distinguish fantasy from reality', 'folly(...)', 'unreasonableness(...)', 'recklessness(...)']",
lunatic,s,unconscious_bias,cognitive_perception,cognitive_perception,"['person with mental impairment(...)', 'person with psychiatric disabilities(...)', 'person with confusing behavior(...)', 'person who acts unpredictably(...)', 'someone with poor impulse control(...)', 'person who does not experience fear(...)', 'someone who lives on the edge(...)', 'thrill-seeker(...)', 'person who acts out of control(...)']","['people with a mental disability(...)', 'people with psychiatric disabilities(...)', 'people with reckless behavior(...)', 'people who act unpredictably(...)', 'people who do not experience fear(...)', 'people who live on the edge(...)', 'thrill-seekers(...)', 'reckless people(...)', 'people who act out of control(...)']","['person with mental impairment(...)', 'person with psychiatric disabilities(...)', 'person with confusing behavior(...)', 'person who acts unpredictably(...)', 'someone with poor impulse control(...)', 'person who does not experience fear(...)', 'someone who lives on the edge(...)', 'thrill-seeker(...)', 'person who acts out of control(...)']",
madhouse,s,unconscious_bias,cognitive_perception,cognitive_perception,"['psychiatric hospital unit', 'mental health unit', 'behavioral health unit', 'institution providing care to people with mental and psychiatric disabilities', 'psychiatric hospital wards', 'mental health units', 'behavioral health units', 'institutions providing care to people with mental or psychiatric disabilities', 'noisy and confusing scene(...)', 'the place was in uproar(...)']","['psychiatric hospital wards', 'mental health units', 'behavioral health units', 'institutions providing care to people with mental or psychiatric disabilities', 'situations full of confusion(...)', 'places in uproar(...)', 'noisy and confusing scenes(...)']","['psychiatric hospital unit', 'mental health unit', 'behavioral health unit', 'institution providing care to people with mental and psychiatric disabilities', 'noisy and confusing scene(...)', 'the place was in uproar(...)', 'psychiatric hospital wards', 'mental health units', 'behavioral health units', 'institutions providing care to people with mental or psychiatric disabilities']",
madman,s,unconscious_bias,cognitive_perception,cognitive_perception,"['person with mental impairment(...)', 'person with psychiatric disabilities(...)']","['people with mental impairment(...)', 'people with psychiatric disabilities(...)']","['person with mental impairment(...)', 'person with psychiatric disabilities(...)']",
psychopath,s,unconscious_bias,cognitive_perception,cognitive_perception,"['person with a chronic mental disorder(...)', 'someone with antisocial, egocentric, or violent social behavior(...)', 'violent person(...)', 'unemotional person(...)', 'callous person(...)', 'person who lacks empathy(...)', 'person who lacks remorse for their actions(...)']","['people with a chronic mental disorder(...)', 'people with antisocial, egocentric, or violent social behavior(...)', 'violent persons(...)', 'unemotional persons(...)', 'callous persons(...)', 'people who lacks empathy(...)', 'person who lacks remorse for their actions(...)']","['person with a chronic mental disorder(...)', 'someone with antisocial, egocentric, or violent social behavior(...)', 'violent person(...)', 'unemotional person(...)', 'callous person(...)', 'person who lacks empathy(...)', 'person who lacks remorse for their actions(...)']",
black-list,s,unconscious_bias,color,color,"['deny list', 'block list', 'exclude list', 'avoid list', 'deny lists', 'block lists', 'exclude lists', 'avoid lists']","['deny lists', 'block lists', 'exclude lists', 'avoid lists']","['deny list', 'block list', 'exclude list', 'avoid list', 'deny lists', 'block lists', 'exclude lists', 'avoid lists']",
