Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split
leadership,s,gendered,leadership,leadership,"['guidance', 'servant leadership', 'inspiration', 'care', 'encouragement', 'tutelage', 'upper management', 'guidance', 'servant leaderships', 'inspiration', 'care', 'encouragement', 'tutelage', 'guardianships']","['guidance', 'servant leaderships', 'inspiration', 'care', 'encouragement', 'tutelage', 'guardianships', 'upper management']","['upper management', 'guidance', 'servant leadership', 'inspiration', 'care', 'encouragement', 'tutelage', 'guidance', 'servant leaderships', 'inspiration', 'care', 'encouragement', 'tutelage', 'guardianships']"
longshoreman,s,gendered,titles,generic_plural,"['stevedore', 'they', 'stevedores']",['stevedores'],"['stevedore', 'they', 'stevedores']"
maid,s,gendered,titles,titles,"['housekeeper', 'housekeeping', 'housekeepers']","['housekeepers', 'housekeeping']","['housekeeping', 'housekeeper', 'housekeepers']"
mailman,s,gendered,titles,titles,"['mailperson', 'mail carrier', 'postal worker', 'they', 'mail', 'mail persons', 'mail carriers', 'postal workers']","['mail persons', 'mail carriers', 'postal workers', 'mail']","['mail', 'mailperson', 'mail carrier', 'postal worker', 'they', 'mail persons', 'mail carriers', 'postal workers']"
man-bag,s,gendered,male_stereotype,male_stereotype,"['handbag', 'handbags']",['handbags'],"['handbag', 'handbags']"
man-bun,s,gendered,male_stereotype,male_stereotype,"['bun', 'buns']",['buns'],"['bun', 'buns']"
man-day,s,gendered,hidden_image,hidden_image,"['person-day', 'person-days']",['person-days'],"['person-day', 'person-days']"
man-hour,s,gendered,hidden_image,hidden_image,"['person-hour', 'labor hour', 'hour of effort', 'person-hours', 'labor hours', 'hours of effort', 'amount of work done in one hour(...)']","['person-hours', 'labor hours', 'hours of effort', 'amount of work done in one hour(...)']","['person-hour', 'labor hour', 'hour of effort', 'amount of work done in one hour(...)', 'person-hours', 'labor hours', 'hours of effort']"
man-hunt,s,gendered,advanced_hidden_image,advanced_hidden_image,"['intensive search for a person', 'organized search by law enforcement agencies', 'intensive searches for a people', 'organized searches by law enforcement agencies']","['intensive searches for a people', 'organized searches by law enforcement agencies']","['intensive search for a person', 'organized search by law enforcement agencies', 'intensive searches for a people', 'organized searches by law enforcement agencies']"
man-in-the-middle,s,gendered,advanced_hidden_image,advanced_hidden_image,"['interceptor', 'person-in-the-middle (PITM)', 'on-path attacker']",[],"['interceptor', 'person-in-the-middle (PITM)', 'on-path attacker']"
man-kini,s,gendered,male_stereotype,male_stereotype,"['sling swimsuit', 'slingshot bikini', 'sling swimsuits', 'slingshot bikinis']","['sling swimsuits', 'slingshot bikinis']","['sling swimsuit', 'slingshot bikini', 'sling swimsuits', 'slingshot bikinis']"
man-power,s,gendered,advanced_hidden_image,advanced_hidden_image,"['labor force', 'personnel', 'pool', 'staff', 'people available(...)', 'teams to handle a job(...)', 'the people to (...)']","['personnel', 'pool', 'staff']","['labor force', 'people available(...)', 'teams to handle a job(...)', 'the people to (...)', 'personnel', 'pool', 'staff']"
man-scara,s,gendered,male_stereotype,male_stereotype,"['mascara', 'mascaras']",['mascaras'],"['mascara', 'mascaras']"
man-to-man,s,gendered,advanced_hidden_image,advanced_hidden_image,['person-to-person'],[],['person-to-person']
man-trap,s,gendered,advanced_hidden_image,advanced_hidden_image,"['snare', 'outdoor trap for trespassers', 'double-door single-person access control space', 'snares', 'outdoor traps for trespassers', 'double-door single-person access control spaces']","['snares', 'outdoor traps for trespassers', 'double-door single-person access control spaces']","['snare', 'outdoor trap for trespassers', 'double-door single-person access control space', 'snares', 'outdoor traps for trespassers', 'double-door single-person access control spaces']"
manager,s,gendered,titles,generic_plural,"['they', 'management', 'management team', 'managers', 'person in a managing role(...)', 'person managing people, tasks, and projects(...)', 'person handling a fast-paced schedule(...)']","['managers', 'management team', 'management', 'people in a managing role(...)', 'those who manage people, tasks, and projects(...)', 'people handling fast-paced schedules(...)']","['management', 'they', 'person in a managing role(...)', 'person managing people, tasks, and projects(...)', 'person handling a fast-paced schedule(...)', 'management team', 'managers']"
manageress,s,gendered,titles,generic_plural,"['manager', 'they', 'management', 'management team', 'managers', 'person in a managing role(...)', 'person managing people, tasks, and projects(...)', 'person handling a fast-paced schedule(...)']","['managers', 'management team', 'management', 'people in a managing role(...)', 'those who manage people, tasks, and projects(...)', 'people handling fast-paced schedules(...)']","['management', 'manager', 'they', 'person in a managing role(...)', 'person managing people, tasks, and projects(...)', 'person handling a fast-paced schedule(...)', 'management team', 'managers']"
manbag,s,gendered,male_stereotype,male_stereotype,"['handbag', 'handbags']",['handbags'],"['handbag', 'handbags']"
manbun,s,gendered,male_stereotype,male_stereotype,"['bun', 'buns']",['buns'],"['bun', 'buns']"
manday,s,gendered,advanced_hidden_image,advanced_hidden_image,"['person-day', 'person-days']",['person-days'],"['person-day', 'person-days']"
manhelper,s,gendered,advanced_hidden_image,advanced_hidden_image,"['paintbrush extender', 'paintbrush extenders', 'long pole for holding a paintbrush(...)']","['paintbrush extenders', 'long poles for holding paintbrushes(...)']","['paintbrush extender', 'long pole for holding a paintbrush(...)', 'paintbrush extenders']"
manhole,s,gendered,advanced_hidden_image,advanced_hidden_image,"['personhole', 'utility hole', 'maintenance hole', 'sewer hole', 'sewer maintenance hole', 'personholes', 'utility holes', 'maintenance holes', 'sewer holes', 'sewer maintenance holes']","['personholes', 'utility holes', 'maintenance holes', 'sewer holes', 'sewer maintenance holes']","['personhole', 'utility hole', 'maintenance hole', 'sewer hole', 'sewer maintenance hole', 'personholes', 'utility holes', 'maintenance holes', 'sewer holes', 'sewer maintenance holes']"
manhood,s,gendered,advanced_hidden_image,advanced_hidden_image,"['adulthood', 'male gender', 'traditional concepts of masculinity', 'male genitals']",[],"['adulthood', 'male gender', 'traditional concepts of masculinity', 'male genitals']"
manhour,s,gendered,hidden_image,hidden_image,"['person-hour', 'labor hour', 'hour of effort', 'person-hours', 'labor hours', 'hours of effort', 'amount of work done in one hour(...)']","['person-hours', 'labor hours', 'hours of effort', 'amount of work done in one hour(...)']","['person-hour', 'labor hour', 'hour of effort', 'amount of work done in one hour(...)', 'person-hours', 'labor hours', 'hours of effort']"
manhunt,s,gendered,advanced_hidden_image,advanced_hidden_image,"['intensive search for a person', 'organized search by law enforcement agencies', 'intensive searches for a people', 'organized searches by law enforcement agencies']","['intensive searches for a people', 'organized searches by law enforcement agencies']","['intensive search for a person', 'organized search by law enforcement agencies', 'intensive searches for a people', 'organized searches by law enforcement agencies']"
mankind,s,gendered,advanced_hidden_image,advanced_hidden_image,"['humanity', 'humankind']",[],"['humanity', 'humankind']"
mankini,s,gendered,male_stereotype,male_stereotype,"['sling swimsuit', 'slingshot bikini', 'sling swimsuits', 'slingshot bikinis']","['sling swimsuits', 'slingshot bikinis']","['sling swimsuit', 'slingshot bikini', 'sling swimsuits', 'slingshot bikinis']"
manpower,s,gendered,hidden_image,hidden_image,"['labor force', 'personnel', 'pool', 'staff', 'people available(...)', 'teams to handle a job(...)', 'the people to (...)']","['personnel', 'pool', 'staff']","['labor force', 'people available(...)', 'teams to handle a job(...)', 'the people to (...)', 'personnel', 'pool', 'staff']"
manscara,s,gendered,male_stereotype,male_stereotype,"['mascara', 'mascaras']",['mascaras'],"['mascara', 'mascaras']"
manslaughter,s,gendered,advanced_hidden_image,advanced_hidden_image,['^'],['^'],['^']
mantrap,s,gendered,advanced_hidden_image,advanced_hidden_image,"['snare', 'outdoor trap for trespassers', 'double-door single-person access control space', 'snares', 'outdoor traps for trespassers', 'double-door single-person access control spaces']","['snares', 'outdoor traps for trespassers', 'double-door single-person access control spaces']","['snare', 'outdoor trap for trespassers', 'double-door single-person access control space', 'snares', 'outdoor traps for trespassers', 'double-door single-person access control spaces']"
manway,s,gendered,advanced_hidden_image,advanced_hidden_image,"['passage wide enough for a single person', 'passages wide enough for a single person']",['passages wide enough for a single person'],"['passage wide enough for a single person', 'passages wide enough for a single person']"
mayoress,s,gendered,titles,generic_plural,"['mayor', 'they', 'mayors']",['mayors'],"['mayor', 'they', 'mayors']"
mentor,s,gendered,function,generic_plural,"['mentoring', 'mentors', 'person who mentors(...)']","['mentors', 'mentoring', 'people who mentor (someone ...)']","['mentoring', 'person who mentors(...)', 'mentors']"
middle-man,s,gendered,function,function,"['intermediary', 'mediator', 'go-between', 'intermediaries', 'mediators', 'go-betweens', 'person acting as an agent between two parties(...)']","['intermediaries', 'mediators', 'go-betweens', 'people acting as agents between two parties(...)']","['intermediary', 'mediator', 'go-between', 'person acting as an agent between two parties(...)', 'intermediaries', 'mediators', 'go-betweens']"
middleman,s,gendered,function,function,"['intermediary', 'mediator', 'go-between', 'intermediaries', 'mediators', 'go-betweens', 'person acting as an agent between two parties(...)']","['intermediaries', 'mediators', 'go-betweens', 'people acting as agents between two parties(...)']","['intermediary', 'mediator', 'go-between', 'person acting as an agent between two parties(...)', 'intermediaries', 'mediators', 'go-betweens']"
motherland,s,gendered,advanced_hidden_image,advanced_hidden_image,"['native land', 'homeland']",[],"['native land', 'homeland']"
nanny,s,gendered,titles,titles,"['caregiver', 'guardian', 'caregivers', 'guardians']","['caregivers', 'guardians']","['caregiver', 'guardian', 'caregivers', 'guardians']"
