Lemma,Word_Type,Category,Primary_subcategory,Secondary_subcategory,Sg_all_split,Pl_all_split,Alt_split,False_Positives
front-end developer,a|s,gendered,titles,generic_plural,"['they', 'front-end development', 'front-end development team', 'front-end developers', 'colleague in front-end development(...)']","['front-end developers', 'front-end development team', 'front-end development', 'colleagues in front-end development(...)']","['front-end development', 'they', 'colleague in front-end development(...)', 'front-end development team', 'front-end developers']",
garbage man,~s|s,gendered,titles,generic_plural,"['trash collector', 'they', 'garbage collection', 'trash collectors']","['trash collectors', 'garbage collection']","['garbage collection', 'trash collector', 'they', 'trash collectors']",
growth hacker,~s|s,gendered,titles,generic_plural,"['they', 'growth hacking', 'growth hackers']","['growth hackers', 'growth hacking']","['growth hacking', 'they', 'growth hackers']",
maintenance man,~s|s,gendered,titles,titles,"['maintenance person', 'maintenance worker', 'they', 'maintenance', 'maintenance staff', 'maintenance crew', 'maintenance workers']","['maintenance workers', 'maintenance staff', 'maintenance crew', 'maintenance']","['maintenance', 'maintenance person', 'maintenance worker', 'they', 'maintenance staff', 'maintenance crew', 'maintenance workers']",
male nurse,a|s,gendered,titles,generic_plural,"['nurse', 'they', 'nursing', 'nursing personnel', 'nursing staff', 'nurses']","['nurses', 'nursing personnel', 'nursing staff', 'nursing']","['nursing', 'nurse', 'they', 'nursing personnel', 'nursing staff', 'nurses']",
pizza guy,~s|s,gendered,titles,generic_plural,"['pizza person', 'they', 'pizza delivery', 'pizza people']","['pizza people', 'pizza delivery']","['pizza delivery', 'pizza person', 'they', 'pizza people']",
pizza man,~s|s,gendered,titles,generic_plural,"['pizza person', 'they', 'pizza delivery', 'pizza people']","['pizza people', 'pizza delivery']","['pizza delivery', 'pizza person', 'they', 'pizza people']",
product owner,s|s,gendered,titles,generic_plural,"['they', 'product ownership', 'product owners']","['product owners', 'product ownership']","['product ownership', 'they', 'product owners']",
project manager,s|s,gendered,titles,titles,"['person in project management', 'they', 'project management', 'people in project management', 'person managing the project(...)', 'someone in the project management role(...)']","['people in project management', 'project management', 'people managing projects(...)', 'people in project management roles(...)']","['project management', 'person in project management', 'they', 'person managing the project(...)', 'someone in the project management role(...)', 'people in project management']",
service desk agent,s|s|s,gendered,titles,generic_plural,"['they', 'service desk', 'service desk agents']","['service desk agents', 'service desk']","['service desk', 'they', 'service desk agents']",
stunt man,s|s,gendered,titles,titles,"['stunt person', 'stunt performer', 'stunt double', 'they', 'stunt people', 'stunt persons', 'stunt performers', 'stunt doubles']","['stunt persons', 'stunt performers', 'stunt doubles', 'stunt people']","['stunt person', 'stunt performer', 'stunt double', 'they', 'stunt people', 'stunt persons', 'stunt performers', 'stunt doubles']",
vice chairman,a|s,gendered,titles,titles,"['vice chairperson', 'they', 'vice chairpersons', 'vice chairpeople', '((name)) who serves as vice chair(...)']","['vice chairpersons', 'vice chairpeople', '((name)) who serve as vice chairs(...)']","['vice chairperson', 'they', '((name)) who serves as vice chair(...)', 'vice chairpersons', 'vice chairpeople']",
