Lemma,Word_Type,Category,Primary_subcategory,Alt_split
DOM,~,style,advanced_abbreviation,"['Dokument-Objektmodell', 'Dokument-Objektmodell (DOM)', 'der Schnittstelle zugrundeliegendes Objektmodell', 'Spezifikation einer Programmierschnittstelle']"
DPO,~,style,advanced_abbreviation,"['Direct Public Offering (DPO)', 'direktes öffentliches Angebot']"
DR,~,style,advanced_abbreviation,"['Debit (DR)', 'Lastschrift']"
EBITDA,~,style,advanced_abbreviation,"['Earnings Before Interests, Taxes, Depreciation and Amortisation (EBITDA)', 'Ergebnis vor Zinsen, Steuern, Abschreibungen auf Sachanlagen und Abschreibungen auf immaterielle Vermögenswerte']"
EOD,~,style,advanced_abbreviation,"['End of Day (EOD)', 'Tagesende', 'Ende des Tages', 'zum Tagesende']"
EPS,~,style,advanced_abbreviation,"['Earnings per Share (EPS)', 'Aktienrendite', 'Gewinn je Aktie']"
ESOP,~,style,advanced_abbreviation,"['Employee Stock Option Plan (ESOP)', 'Mitarbeitsbeteiligung', 'Anteilsoptionen für Mitarbeitende']"
ESP,~,style,advanced_abbreviation,"['Email Service Provider (ESP)', 'E-Mail-Dienstanbieter']"
ETA,~,style,advanced_abbreviation,"['Estimated Time of Arrival (ETA)', 'Geschätzte Ankunftszeit']"
ETD,~,style,advanced_abbreviation,"['Estimated Time of Departure (ETD)', 'Geschätzte Abflugzeit', 'geschätzte Abreisezeit']"
EV,~,style,advanced_abbreviation,"['Enterprise Value (EV)', 'Unternehmenswert']"
EVP,~,style,advanced_abbreviation,"['Exceptional Viable Product (EVP)', 'Employer Value Proposition (EVP)', 'existenzfähiges Produkt', 'Werteversprechen des arbeitgebenden Unternehmens an Mitarbeitende']"
FAQ,~,style,advanced_abbreviation,"['Frequently Asked Question (FAQ)', 'Häufig gestellte Fragen', 'Oft gefragt, hier beantwortet', 'Häufig gefragt']"
FFF,~,style,advanced_abbreviation,"['Family, Friends, and Fools Round (FFF)', 'Finanzierungsrunde mit Familie, Freunden und begeisterten Vermögenden']"
FIFO,~,style,advanced_abbreviation,"['First in, First out (FIFO)', 'Wer zuerst kommt, mahlt zuerst', 'der Reihe nach', 'Warteschlange --- Informatik', 'Verbrauchsfolgeverfahren --- Warenwirtschaft']"
FLINT,~,style,advanced_abbreviation,"['Frauen, Lesben, intersexuelle Personen, nicht-binäre-Personen, Trans~gender', 'Frauen, Lesben, intersexuelle Personen, nicht-binäre-Personen, Trans~gender (FLINT)', 'alle, die aufgrund ihrer Geschlechtsidentität und sexuellen Orientierung im Patriarchat diskriminiert werden']"
FLINTA,~,style,advanced_abbreviation,"['Frauen, Lesben, intersexuelle Personen, nicht-binäre-Personen, Trans~gender, Agender', 'Frauen, Lesben, intersexuelle Personen, nicht-binäre-Personen, Trans~gender, Agender (FLINTA)', 'alle, die aufgrund ihrer Geschlechtsidentität und sexuellen Orientierung im Patriarchat diskriminiert werden']"
FMA,~,style,advanced_abbreviation,"['First-mover Advantage (FMA)', 'Erstanbietervorteile', 'Wettbewerbsvorteile einer Pionierstrategie']"
FOLO,~,style,advanced_abbreviation,"['Fear of Losing Out (FOLO)', 'Angst, dass einem etwas entgeht', 'Angst, etwas zu verpassen', 'Angst, übergangen zu werden']"
FOMO,~,style,advanced_abbreviation,"['Fear of Missing Out (FOMO)', 'Angst, etwas zu verpassen']"
FOSS,~,style,advanced_abbreviation,"['Free and Open-source Software (FOSS)', 'Freie Software und Open-Source-Software']"
FTE,~,style,advanced_abbreviation,"['Full-time Employee (FTE)', 'Vollzeitbeschäftigt~e~/~Vollzeitbeschäftigter', 'Vollzeitbeschäftigte']"
FTP,~,style,advanced_abbreviation,"['File Transport Protocol (FTP)', 'Dateiübertragungsprotokoll', 'Protokoll zur Übertragung von Dateien über IP-Netzwerke']"
FTU,~,style,advanced_abbreviation,"['First-time Use (FTU)', 'Erstverwendung', 'erstmalige Verwendung']"
FTUE,~,style,advanced_abbreviation,"['First-time User Experience (FTUE)', 'Erstverwendungserlebnis', 'erstmalige Nutzungserfahrung']"
FWIW,~,style,advanced_abbreviation,"[""For what it's worth"", 'Hilft vielleicht nicht weiter, aber', 'Nur so ein Gedanke']"
FY,~,style,advanced_abbreviation,"['Financial Year (FY)', 'Fiscal Year (FY)', 'Finanzjahr', 'Steuerjahr', 'Geschäftsjahr']"
FYI,~,style,advanced_abbreviation,"['For your Information (FYI)', 'zu Ihrer Information', 'zu deiner Information']"
GA,~,style,advanced_abbreviation,"['Google Analytics', 'Google Analytics (GA)']"
GAAP,~,style,advanced_abbreviation,"['Generally Accepted Accounting Principles (GAAP)', 'allgemein anerkannte Rechnungslegungsgrundsätze']"
GC,~,style,advanced_abbreviation,"['General Counsel (GC)', 'Rechtsbeistand', 'Leiter~in der Rechtsabteilung', 'Justitiar~in', 'Syndika~Syndikus', 'Leiter~innen~ und Leiter von Rechtsabteilungen', 'Justitiar~innen~ und ~Justitiare', 'Syndikas~Syndizi']"
GMV,~,style,advanced_abbreviation,"['gross merchandise value (GMV)', 'Bruttowarenwert']"
GTM,~,style,advanced_abbreviation,"['Go-to-Market (GTM)', 'Markteinführung']"
GUI,~,style,advanced_abbreviation,"['Graphical User Interface (GUI)', 'grafische Benutzungsoberfläche', 'grafische Anwendungsoberfläche']"
H1,~,style,advanced_abbreviation,"['First-Half-of-the-Year (H1)', 'erste Jahreshälfte']"
H2,~,style,advanced_abbreviation,"['Second-Half-of-the-year (H2)', 'zweite Jahreshälfte']"
HMU,~,style,advanced_abbreviation,"['Hit me up', ""Meld' dich"", 'Ruf mich an', 'hat sich gemeldet', 'hat mich angehauen']"
HR,~,style,advanced_abbreviation,"['Human Relations (HR)', 'Human Resources (HR)', 'Personalwesen', 'Personalabteilung']"
HTML,~,style,advanced_abbreviation,"['HyperText Markup Language (HTML)', 'HyperText Markup Language']"
HTTP,~,style,advanced_abbreviation,"['HyperText Transfer Protocol (HTTP)', 'HyperText-Übertragungsprotokoll']"
HTTPS,~,style,advanced_abbreviation,"['HyperText Transfer Protocol Secure (HTTPS)', 'sicheres HyperText-Übertragungsprotokoll']"
IaaS,~,style,advanced_abbreviation,"['Infrastructure-as-a-Service (IaaS)', 'Infrastruktur-Dienstleistungen über die Cloud', 'Infrastruktur-Dienstleistungen übers Internet', 'Infrastruktur-Dienstleistungen über Cloud oder Internet']"
ICP,~,style,advanced_abbreviation,"['Ideal-Customer Profile (ICP)', 'Idealkundenprofil', 'ideales Kundenprofil', 'Profil der~des idealtypischen Kund~in~/~Kunden', 'Profile idealtypischer Kund~innen~ und ~Kunden']"
ICYMI,~,style,advanced_abbreviation,"['In case you missed it', 'Nur für den Fall, dass Ihnen das entgangen sein sollte', 'Nur für den Fall, dass Sie das übersehen haben', 'Sicherheitshalber, falls du das verpasst hast', 'Nur für den Fall, dass du das nicht mitbekommen hast']"
IDE,~,style,advanced_abbreviation,"['Integrated Development Environment (IDE)', 'integrierte Entwicklungsumgebung']"
IDK,~,style,advanced_abbreviation,"[""I don't know"", 'Keine Ahnung', 'Das weiß ich leider nicht', 'Nur eine Vermutung', 'Nur eine Annahme']"
IIRC,~,style,advanced_abbreviation,"['If I remember correctly,', 'Wenn ich mich recht entsinne,', 'Wenn ich mich richtig erinnere,']"
IM,=,style,advanced_abbreviation,"['Instant Messaging (IM)', 'Sofortnachrichten', 'Direktnachrichten']"
IMHO,~,style,advanced_abbreviation,"['In my humble opinion,', 'Meiner bescheidenen Ansicht nach', 'Meiner unmaßgeblichen Meinung nach']"
IMO,~,style,advanced_abbreviation,"['In my opinion', 'Meiner Meinung nach', 'Aus meiner Sicht', 'In meinen Augen']"
IP,~,style,advanced_abbreviation,"['Internet Protocol (IP)', 'Internetprotokoll']"
IPO,~,style,advanced_abbreviation,"['Initial Public Offering (IPO)', 'Börsengang']"
IRR,~,style,advanced_abbreviation,"['Internal Rate of Return (IRR)', 'interner Zinsfuß']"
ISP,~,style,advanced_abbreviation,"['Internet Service Provider (ISP)', 'Internetdienstanbieter']"
JS,~,style,advanced_abbreviation,['JavaScript (JS)']
JSON,~,style,advanced_abbreviation,"['JavaScript Object Notation (JSON)', 'JavaScript-Objektnotation']"
K-PTSB,~,style,advanced_abbreviation,"['Komplexe posttraumatische Belastungsstörung (komplexe PTBS)', 'Komplexe posttraumatische Belastungsstörung (K-PTBS)']"
KISS,~,style,advanced_abbreviation,"['Keep it simple, stupid (KISS)', 'Keep it simple, obvious', 'So komplex wie nötig, so schlicht wie möglich', ""Mach's nicht komplizierter als nötig"", 'Halt es einfach']"
KPI,~,style,abbreviation,"['Key Performance Indicator (KPI)', 'Leistungskennzahl', 'Kennzahl']"
KPIs,~,style,advanced_abbreviation,"['Key Performance Indicators (KPI)', 'Leistungskennzahlen', 'Kennzahlen']"
LAMP,~,style,advanced_abbreviation,"['Linux, Apache, MySQL, PHP (LAMP)', 'Linux, Apache, MySQL, Python (LAMP)', 'Linux, Apache, MySQL, Perl (LAMP)']"
LBO,~,style,advanced_abbreviation,"['Leveraged-Buyout (LBO)', 'fremdfinanzierte Übernahme']"
LET,~,style,advanced_abbreviation,"['Leaving early today', 'Ich gehe heute früher', 'Muss heute früher los']"
LGB,~,style,advanced_abbreviation,['LGBTQIA+']
LGBT,~,style,advanced_abbreviation,['LGBTQIA+']
LGBTQIA+,~,style,advanced_abbreviation,"['lesbian, gay, bisexual, trans, queer, questioning, intersex, asexual and more (LGBTQIA+)', 'lesbische, schwule, bisexuelle, transsexuelle, queere, intersexuelle, asexuelle und fragende Menschen']"
