Lemma,Word_Type,Category,Primary_subcategory,Sg_all_split,Pl_all_split,Alt_split
Beschäftigter,s,gendered,function_base,"['Beschäftigt~e~/~Beschäftigter', '~Personal', '~Belegschaft', 'beschäftige Person(...)', 'Person, die beschäftigt ist(...)', 'Person, die im Unternehmen beschäftigt ist(...)', '~Beschäftigung(...)']","['~Beschäftigte', '~Personal', '~Belegschaft', 'Personen/Leute im Unternehmen(...)']","['Beschäftigt~e~/~Beschäftigter', 'beschäftige Person(...)', 'Person, die beschäftigt ist(...)', 'Person, die im Unternehmen beschäftigt ist(...)', '~Beschäftigung(...)', '~Personal', '~Belegschaft', '~Beschäftigte', 'Personen/Leute im Unternehmen(...)']"
Programmierer,s,gendered,titles_base,"['Programmierer~in~/~Programmierer', 'Programmierung(...)']","['~Programmierende', 'Programmierer~innen~ und ~Programmierer']","['Programmierer~in~/~Programmierer', 'Programmierung(...)', '~Programmierende', 'Programmierer~innen~ und ~Programmierer']"
Führungskraft,s,gendered,function,"['verantwortliche Person(...)', 'Person, die die Vision kommuniziert(...)', 'Person, die ihr Team unterstützt und coacht(...)', 'Person, die mit Rat und Tat zur Seite steht(...)', 'Leitung(...)', 'Team-Anleitung(...)', 'Team-Lenkung(...)', 'Lenkung(...)', 'Management(...)']","['Verantwortungtragende', 'Verantwortliche', 'Person, die Verantwortung für (Personal, die Abteilung, ...) trägt']","['verantwortliche Person(...)', 'Person, die die Vision kommuniziert(...)', 'Person, die ihr Team unterstützt und coacht(...)', 'Person, die mit Rat und Tat zur Seite steht(...)', 'Leitung(...)', 'Team-Anleitung(...)', 'Team-Lenkung(...)', 'Lenkung(...)', 'Management(...)', 'Verantwortungtragende', 'Verantwortliche', 'Person, die Verantwortung für (Personal, die Abteilung, ...) trägt']"
Growth Hacker,|,gendered,titles,"['Growth-Manager~in~/~Growth-Manager', 'Growth-Marketing-Spezialist~in~/~Growth-Marketing-Spezialist', 'Person, die kreative, kostengünstige Strategien einsetzt, um Unternehmen bei der Gewinnung und Bindung von Kunden zu unterstützen(...)', 'Wachstumsmarketing(...)']","['Growth-Manager~innen~ und ~Growth-Manager', 'Growth-Marketing-Spezialist~innen~ und ~Growth-Marketing-Spezialist', 'Leute, die kreative, kostengünstige Strategien einsetzen, um Unternehmen bei der Gewinnung und Bindung von Kunden zu unterstützen(...)']","['Growth-Manager~in~/~Growth-Manager', 'Growth-Marketing-Spezialist~in~/~Growth-Marketing-Spezialist', 'Person, die kreative, kostengünstige Strategien einsetzt, um Unternehmen bei der Gewinnung und Bindung von Kunden zu unterstützen(...)', 'Wachstumsmarketing(...)', 'Growth-Manager~innen~ und ~Growth-Manager', 'Growth-Marketing-Spezialist~innen~ und ~Growth-Marketing-Spezialist', 'Leute, die kreative, kostengünstige Strategien einsetzen, um Unternehmen bei der Gewinnung und Bindung von Kunden zu unterstützen(...)']"
Mechatroniker,s,gendered,titles,"['Mechatroniker~in~/~Mechatroniker', 'Mechatronik(...)']",['Mechatroniker~innen~ und ~Mechatroniker'],"['Mechatroniker~in~/~Mechatroniker', 'Mechatronik(...)', 'Mechatroniker~innen~ und ~Mechatroniker']"
Product Owner,|,gendered,titles,"['Product Owner~in~/~Owner', 'Person, die die Verantwortung für die wirtschaftlich sinnvolle Umsetzung eines Vorhabens trägt(...)', 'Person, die gegenüber der Entwicklung die Sicht/Erwartungen der Kundschaft vertritt/kommuniziert(...)', 'Product Ownership(...)']","['Product Owner~innen~ und ~Owner', 'Personen, die die Verantwortung für die wirtschaftlich sinnvolle Umsetzung eines Vorhabens tragen(...)', 'Personen, die gegenüber der Entwicklung die Sicht/Erwartungen der Kundschaft vertreten/kommunizieren(...)']","['Product Owner~in~/~Owner', 'Person, die die Verantwortung für die wirtschaftlich sinnvolle Umsetzung eines Vorhabens trägt(...)', 'Person, die gegenüber der Entwicklung die Sicht/Erwartungen der Kundschaft vertritt/kommuniziert(...)', 'Product Ownership(...)', 'Product Owner~innen~ und ~Owner', 'Personen, die die Verantwortung für die wirtschaftlich sinnvolle Umsetzung eines Vorhabens tragen(...)', 'Personen, die gegenüber der Entwicklung die Sicht/Erwartungen der Kundschaft vertreten/kommunizieren(...)']"
Familienvater,s,gendered,male_stereotype,"['die kreativen Kräfte der Abteilung', 'die strategisch denkenden Kräfte', 'Eltern', 'Person, die eine Elternrolle hat(...)', 'Elternschaft(...)', 'Vater(...)']","['Elternteile', 'Eltern', 'Personen in einer Elternrolle(...)']","['die kreativen Kräfte der Abteilung', 'die strategisch denkenden Kräfte', 'Person, die eine Elternrolle hat(...)', 'Elternschaft(...)', 'Vater(...)', 'Eltern', 'Elternteile', 'Personen in einer Elternrolle(...)']"
Administrator,s,gendered,titles,"['Administrator~in~/~Administrator', 'Administration(...)']",['Administrator~innen~ und ~Administratoren'],"['Administrator~in~/~Administrator', 'Administration(...)', 'Administrator~innen~ und ~Administratoren']"
Anfängerkurs,s,gendered,advanced_hidden_image,"['Grundkurs', 'Einstiegskurs']","['Grundkurse', 'Einstiegskurse']","['Grundkurs', 'Einstiegskurs', 'Grundkurse', 'Einstiegskurse']"
Informatiker,s,gendered,titles,"['Informatiker~in~/~Informatiker', 'auf IT spezialisierte Person(...)', 'Informatik(...)']","['Informatiker~innen~ und ~Informatiker', 'auf IT spezialisierte Leute(...)']","['Informatiker~in~/~Informatiker', 'auf IT spezialisierte Person(...)', 'Informatik(...)', 'Informatiker~innen~ und ~Informatiker', 'auf IT spezialisierte Leute(...)']"
