infinitiv,present_ich,present_du,present_pronoun,past_tense_ich,past_participle,conjunctive_ich,imperativ_singular,imperativ_plural,helping_verb,infinitiv_zu
verballhornen,verballhorne,verballhornst,verballhornt,verballhornte,verballhornt,verballhornte,verballhorne,verballhornt,haben,zu verballhornen
defilieren,defiliere,defilierst,defiliert,defilierte,defiliert,defilierte,defilier,defiliert,haben,zu defilieren
knetschen,knetsche,knetschst,knetscht,knetschte,geknetscht,knetschte,knetsch,knetscht,sein,zu knetschen
mailen,maile,mailst,mailt,mailte,gemailt,mailte,mail,mailt,haben,zu mailen
perennieren,perenniere,perennierst,perenniert,perennierte,perenniert,perennierte,perennier,perenniert,sein,zu perennieren
substantivieren,substantiviere,substantivierst,substantiviert,substantivierte,substantiviert,substantivierte,substantiviere,substantiviert,haben,zu substantivieren
abändern,ändre ab,änderst ab,ändert ab,änderte ab,abgeändert,änderte ab,ändre ab,ändert ab,haben,abzuändern
abbaden,bade ab,badest ab,badet ab,badete ab,abgebadet,badete ab,bade ab,badet ab,haben,abzubaden
abbalgen,balge ab,balgst ab,balgt ab,balgte ab,abgebalgt,balgte ab,balg ab,balgt ab,haben,abzubalgen
abbaken,bake ab,bakst ab,bakt ab,bakte ab,abgebakt,bakte ab,bake ab,bakt ab,haben,abzubaken
abbalzen,balze ab,balzt ab,balzt ab,balzte ab,abgebalzt,balzte ab,balz ab,balzt ab,haben,abzubalzen
abbangen,bange ab,bangst ab,bangt ab,bangte ab,abgebangt,bangte ab,bang ab,bangt ab,haben,abzubangen
abbasten,baste ab,bastest ab,bastet ab,bastete ab,abgebastet,bastete ab,baste ab,bastet ab,haben,abzubasten
abbeißen,beiße ab,beißt ab,beißt ab,biss ab,abgebissen,bisse ab,beiß ab,beißt ab,haben,abzubeißen
requirieren,requiriere,requirierst,requiriert,requirierte,requiriert,requirierte,requiriere,requiriert,haben,zu requirieren
abbegehren,begehre ab,begehrst ab,begehrt ab,begehrte ab,abbegehrt,begehrte ab,begehr ab,begehrt ab,haben,abzubegehren
abbeeren,beere ab,beerst ab,beert ab,beerte ab,abgebeert,beerte ab,beer ab,beert ab,haben,abzubeeren
abbefehlen,befehle ab,befiehlst ab,befiehlt ab,befahl ab,abbefohlen,beföhle ab,befiehl ab,befiehlt ab,haben,abzubefehlen
abbeizen,beize ab,beizt ab,beizt ab,beizte ab,abgebeizt,beizte ab,beiz ab,beizt ab,haben,abzubeizen
abbekommen,bekomme ab,bekommst ab,bekommt ab,bekam ab,abbekommen,bekäme ab,bekomm ab,bekommt ab,haben,abzubekommen
abberufen,berufe ab,berufst ab,beruft ab,berief ab,abberufen,beriefe ab,beruf ab,beruft ab,haben,abzuberufen
ennuyieren,ennuyiere,ennuyierst,ennuyiert,ennuyierte,ennuyiert,ennuyierte,ennuyiere,ennuyiert,haben,zu ennuyieren
sengen,senge,sengst,sengt,sengte,gesengt,sengte,senge,sengt,haben,zu sengen
ownen,owne,ownst,ownt,ownte,geownt,ownte,own,ownt,haben,zu ownen
tangieren,tangiere,tangierst,tangiert,tangierte,tangiert,tangierte,tangier,tangiert,haben,zu tangieren
insistieren,insistiere,insistierst,insistiert,insistierte,insistiert,insistierte,insistiere,insistiert,haben,zu insistieren
übersetzen,übersetze,übersetzt,übersetzt,übersetzte,übersetzt,übersetzte,übersetz,übersetzt,haben,zu übersetzen
finden,finde,findest,findet,fand,gefunden,fände,finde,findet,haben,zu finden
substituieren,substituiere,substituierst,substituiert,substituierte,substituiert,substituierte,substituier,substituiert,haben,zu substituieren
abschmirgeln,schmirgele ab,schmirgelst ab,schmirgelt ab,schmirgelte ab,abgeschmirgelt,schmirgelte ab,schmirgele ab,schmirgelt ab,haben,abzuschmirgeln
schmirgeln,schmirgle,schmirgelst,schmirgelt,schmirgelte,geschmirgelt,schmirgelte,schmirgel,schmirgelt,haben,zu schmirgeln
konzedieren,konzediere,konzedierst,konzediert,konzedierte,konzediert,konzedierte,konzediere,konzediert,haben,zu konzedieren
bereitstellen,stelle bereit,stellst bereit,stellt bereit,stellte bereit,bereitgestellt,stellte bereit,stelle bereit,stellt bereit,haben,zu bereitstellen
derogieren,derogiere,derogierst,derogiert,derogierte,derogiert,derogierte,derogiere,derogiert,haben,zu derogieren
gebrechen,—,—,gebricht,gebrach,gebrochen,gebräche,—,—,haben,zu gebrechen
kuschen,kusche,kuschst,kuscht,kuschte,gekuscht,kuschte,kusch,kuscht,haben,zu kuschen
sagen,sage,sagst,sagt,sagte,gesagt,sagte,sag,sagt,haben,zu sagen
korrigieren,korrigiere,korrigierst,korrigiert,korrigierte,korrigiert,korrigierte,korrigiere,korrigiert,haben,zu korrigieren
dünken,dünke,dünkst,dünkt,dünkte,gedünkt,dünkte,dünke,dünkt,haben,zu dünken
resorbieren,resorbiere,resorbierst,resorbiert,resorbierte,resorbiert,resorbierte,resorbiere,resorbiert,haben,zu resorbieren
kacken,kacke,kackst,kackt,kackte,gekackt,kackte,kack,kackt,haben,zu kacken
akquirieren,akquiriere,akquirierst,akquiriert,akquirierte,akquiriert,akquirierte,akquiriere,akquiriert,haben,zu akquirieren
triggern,triggere,triggerst,triggert,triggerte,getriggert,triggerte,trigger,triggert,haben,zu triggern
internalisieren,internalisiere,internalisierst,internalisiert,internalisierte,internalisiert,internalisierte,internalisiere,internalisiert,haben,zu internalisieren
usurpieren,usurpiere,usurpierst,usurpiert,usurpierte,usurpiert,usurpierte,usurpier,usurpiert,haben,zu usurpieren
vermasseln,vermassele,vermasselst,vermasselt,vermasselte,vermasselt,vermasselte,vermassele,vermasselt,haben,zu vermasseln
loben,lobe,lobst,lobt,lobte,gelobt,lobte,lobe,lobt,haben,zu loben
tadeln,tadele,tadelst,tadelt,tadelte,getadelt,tadelte,tadele,tadelt,haben,zu tadeln
riechen,rieche,riechst,riecht,roch,gerochen,röche,rieche,riecht,haben,zu riechen
schmecken,schmecke,schmeckst,schmeckt,schmeckte,geschmeckt,schmeckte,schmecke,schmeckt,haben,zu schmecken
singen,singe,singst,singt,sang,gesungen,sänge,singe,singt,haben,zu singen
bringen,bringe,bringst,bringt,brachte,gebracht,brächte,bring,bringt,haben,zu bringen
schimpfen,schimpfe,schimpfst,schimpft,schimpfte,geschimpft,schimpfte,schimpf,schimpft,haben,zu schimpfen
tragen,trage,trägst,trägt,trug,getragen,trüge,trag,tragt,haben,zu tragen
epilieren,epiliere,epilierst,epiliert,epilierte,epiliert,epilierte,epiliere,epiliert,haben,zu epilieren
kooptieren,kooptiere,kooptierst,kooptiert,kooptierte,kooptiert,kooptierte,kooptiere,kooptiert,haben,zu kooptieren
vorstellen,stelle vor,stellst vor,stellt vor,stellte vor,vorgestellt,stellte vor,stell vor,stellt vor,haben,zu vorstellen
verschallen,verschalle,verschallst,verschallt,verscholl,verschollen,verschölle,verschalle,verschallt,sein,zu verschallen
widersprechen,widerspreche,widersprichst,widerspricht,widersprach,widersprochen,widerspräche,widersprich,widersprecht,haben,zu widersprechen
brennen,brenne,brennst,brennt,brannte,gebrannt,brennte,brenne,brennt,haben,zu brennen
dislozieren,disloziere,dislozierst,disloziert,dislozierte,disloziert,dislozierte,disloziere,disloziert,haben,dislozuzieren
subsumieren,subsumiere,subsumierst,subsumiert,subsumierte,subsumiert,subsumierte,subsumiere,subsumiert,haben,zu subsumieren
evozieren,evoziere,evozierst,evoziert,evozierte,evoziert,evozierte,evoziere,evoziert,haben,zu evozieren
kennen,kenne,kennst,kennt,kannte,gekannt,kennte,kenne,kennt,haben,zu kennen
nageln,nagele,nagelst,nagelt,nagelte,genagelt,nagelte,nagele,nagelt,haben,zu nageln
befehlen,befehle,befiehlst,befiehlt,befahl,befohlen,befähle,befiehl,befehlt,haben,zu befehlen
zapfen,zapfe,zapfst,zapft,zapfte,gezapft,zapfte,zapfe,zapft,haben,zu zapfen
beginnen,beginne,beginnst,beginnt,begann,begonnen,begönne,beginn,beginnt,haben,zu beginnen
profitieren,profitiere,profitierst,profitiert,profitierte,profitiert,profitierte,profitiere,profitiert,haben,zu profitieren
revozieren,revoziere,revozierst,revoziert,revozierte,revoziert,revozierte,revoziere,revoziert,haben,zu revozieren
konsolidieren,konsolidiere,konsolidierst,konsolidiert,konsolidierte,konsolidiert,konsolidierte,konsolidiere,konsolidiert,haben,zu konsolidieren
bitten,bitte,bittest,bittet,bat,gebeten,bäte,bitte,bittet,haben,zu bitten
bewegen,bewege,bewegst,bewegt,bewegte,bewegt,bewegte,bewege,bewegt,haben,zu bewegen
wenden,wende,wendest,wendet,wandte,gewandt,wendete,wende,wendet,haben,zu wenden
fahren,fahre,fährst,fährt,fuhr,gefahren,führe,fahr,fahrt,sein,zu fahren
betrügen,betrüge,betrügst,betrügt,betrog,betrogen,betröge,betrüge,betrügt,haben,zu betrügen
halbieren,halbiere,halbierst,halbiert,halbierte,halbiert,halbierte,halbier,halbiert,haben,zu halbieren
tun,tue,tust,tut,tat,getan,täte,tue,tut,haben,zu tun
erfahren,erfahre,erfährst,erfährt,erfuhr,erfahren,erführe,erfahr,erfahrt,haben,zu erfahren
hussen,husse,husst,husst,husste,gehusst,husste,husse,husst,haben,zu hussen
pennen,penne,pennst,pennt,pennte,gepennt,pennte,penne,pennt,haben,zu pennen
verwursten,verwurste,verwurstest,verwurstet,verwurstete,verwurstet,verwurstete,verwurst,verwurstet,haben,zu verwursten
nivellieren,nivelliere,nivellierst,nivelliert,nivellierte,nivelliert,nivellierte,nivelliere,nivelliert,haben,zu nivellieren
sekkieren,sekkiere,sekkierst,sekkiert,sekkierte,sekkiert,sekkierte,sekkiere,sekkiert,haben,zu sekkieren
konservieren,konserviere,konservierst,konserviert,konservierte,konserviert,konservierte,konserviere,konserviert,haben,zu konservieren
frequentieren,frequentiere,frequentierst,frequentiert,frequentierte,frequentiert,frequentierte,frequentiere,frequentiert,haben,zu frequentieren
irritieren,irritiere,irritierst,irritiert,irritierte,irritiert,irritierte,irritiere,irritiert,haben,zu irritieren
blättern,blättere,blätterst,blättert,blätterte,geblättert,blätterte,blättere,blättert,haben,zu blättern
übertragen,übertrage,überträgst,überträgt,übertrug,übertragen,übertrüge,übertrag,übertragt,haben,zu übertragen
versalzen,versalze,versalzt,versalzt,versalzte,versalzen,versalzte,versalze,versalzt,haben,zu versalzen
bellen,belle,bellst,bellt,bellte,gebellt,bellte,bell,bellt,haben,zu bellen
abästen,äste ab,ästest ab,ästet ab,ästete ab,abgeästet,ästete ab,äst ab,ästet ab,haben,abzuästen
purgieren,purgiere,purgierst,purgiert,purgierte,purgiert,purgierte,purgiere,purgiert,haben,purzugieren
detachieren,detachiere,detachierst,detachiert,detachierte,detachiert,detachierte,detachiere,detachiert,haben,zu detachieren
niesen,niese,niest,niest,nieste,geniest,nieste,niese,niest,haben,zu niesen
herbringen,bringe her,bringst her,bringt her,brachte her,hergebracht,brächte her,bring her,bringt her,haben,herzubringen
verspüren,verspüre,verspürst,verspürt,verspürte,verspürt,verspürte,verspüre,verspürt,haben,zu verspüren
leeren,leere,leerst,leert,leerte,geleert,leerte,leere,leert,haben,zu leeren
rüsten,rüste,rüstest,rüstet,rüstete,gerüstet,rüstete,rüste,rüstet,haben,zu rüsten
rücken,rücke,rückst,rückt,rückte,gerückt,rückte,rücke,rückt,haben,zu rücken
konfligieren,konfligiere,konfligierst,konfligiert,konfligierte,konfligiert,konfligierte,konfligier,konfligiert,haben,zu konfligieren
verifizieren,verifiziere,verifizierst,verifiziert,verifizierte,verifiziert,verifizierte,verifiziere,verifiziert,haben,zu verifizieren
pofen,pofe,pofst,poft,pofte,gepoft,pofte,pofe,poft,haben,zu pofen
pissen,pisse,pisst,pisst,pisste,gepisst,pisste,pisse,pisst,haben,zu pissen
pinkeln,pinkle,pinkelst,pinkelt,pinkelte,gepinkelt,pinkelte,pinkele,pinkelt,haben,zu pinkeln
fechten,fechte,fichtst,ficht,focht,gefochten,föchte,ficht,fechtet,haben,zu fechten
attrahieren,attrahiere,attrahierst,attrahiert,attrahierte,attrahiert,attrahierte,attrahier,attrahiert,haben,zu attrahieren
eruieren,eruiere,eruierst,eruiert,eruierte,eruiert,eruierte,eruiere,eruiert,haben,zu eruieren
addieren,addiere,addierst,addiert,addierte,addiert,addierte,addier,addiert,haben,zu addieren
behaupten,behaupte,behauptest,behauptet,behauptete,behauptet,behauptete,behaupte,behauptet,haben,zu behaupten
zwingen,zwinge,zwingst,zwingt,zwang,gezwungen,zwänge,zwinge,zwingt,haben,zu zwingen
diskreditieren,diskreditiere,diskreditierst,diskreditiert,diskreditierte,diskreditiert,diskreditierte,diskreditiere,diskreditiert,haben,zu diskreditieren
messen,messe,misst,misst,maß,gemessen,mäße,miss,messt,haben,zu messen
verzapfen,verzapfe,verzapfst,verzapft,verzapfte,verzapft,verzapfte,verzapf,verzapft,haben,zu verzapfen
rumhuren,hure rum,hurst rum,hurt rum,hurte rum,rumgehurt,hurte rum,hur rum,hurt rum,haben,zu rumhuren
indossieren,indossiere,indossierst,indossiert,indossierte,indossiert,indossierte,indossiere,indossiert,haben,zu indossieren
robben,robbe,robbst,robbt,robbte,gerobbt,robbte,robb,robbt,sein,zu robben
anziehen,ziehe an,ziehst an,zieht an,zog an,angezogen,zöge an,zieh an,zieht an,haben,anzuziehen
kucken,kucke,kuckst,kuckt,kuckte,gekuckt,kuckte,kuck,kuckt,haben,zu kucken
verunglimpfen,verunglimpfe,verunglimpfst,verunglimpft,verunglimpfte,verunglimpft,verunglimpfte,verunglimpfe,verunglimpft,haben,zu verunglimpfen
erniedrigen,erniedrige,erniedrigst,erniedrigt,erniedrigte,erniedrigt,erniedrigte,erniedrige,erniedrigt,haben,zu erniedrigen
fringsen,fringse,fringst,fringst,fringste,gefringst,fringste,fringse,fringst,haben,zu fringsen
faulenzen,faulenze,faulenzt,faulenzt,faulenzte,gefaulenzt,faulenzte,faulenze,faulenzt,haben,zu faulenzen
tanzen,tanze,tanzt,tanzt,tanzte,getanzt,tanzte,tanze,tanzt,haben,zu tanzen
glauben,glaube,glaubst,glaubt,glaubte,geglaubt,glaubte,glaub,glaubt,haben,zu glauben
mögen,mag,magst,mag,mochte,gemocht,möchte,—,—,haben,zu mögen
segeln,segle,segelst,segelt,segelte,gesegelt,segelte,segle,segelt,haben,zu segeln
gleiten,gleite,gleitest,gleitet,glitt,geglitten,glitte,gleit,gleitet,sein,zu gleiten
schweben,schwebe,schwebst,schwebt,schwebte,geschwebt,schwebte,schweb,schwebt,sein,zu schweben
ankreuzen,kreuze an,kreuzt an,kreuzt an,kreuzte an,angekreuzt,kreuzte an,kreuz an,kreuzt an,haben,anzukreuzen
ausstrahlen,strahle aus,strahlst aus,strahlt aus,strahlte aus,ausgestrahlt,strahlte aus,strahl aus,strahlt aus,haben,auszustrahlen
speichern,speichere,speicherst,speichert,speicherte,gespeichert,speicherte,speichere,speichert,haben,zu speichern
umarmen,umarme,umarmst,umarmt,umarmte,umarmt,umarmte,umarm,umarmt,haben,zu umarmen
betrachten,betrachte,betrachtest,betrachtet,betrachtete,betrachtet,betrachtete,betrachte,betrachtet,haben,zu betrachten
formen,forme,formst,formt,formte,geformt,formte,form,formt,haben,zu formen
holen,hole,holst,holt,holte,geholt,holte,hole,holt,haben,zu holen
atmen,atme,atmest,atmet,atmete,geatmet,atmete,atme,atmet,haben,zu atmen
striegeln,striegele,striegelst,striegelt,striegelte,gestriegelt,striegelte,striegele,striegelt,haben,zu striegeln
fühlen,fühle,fühlst,fühlt,fühlte,gefühlt,fühlte,fühl,fühlt,haben,zu fühlen
rennen,renne,rennst,rennt,rannte,gerannt,rennte,renn,rennt,sein,zu rennen
schwimmen,schwimme,schwimmst,schwimmt,schwamm,geschwommen,schwömme,schwimm,schwimmt,sein,zu schwimmen
evakuieren,evakuiere,evakuierst,evakuiert,evakuierte,evakuiert,evakuierte,evakuiere,evakuiert,haben,zu evakuieren
schnökern,schnöker,schnökerst,schnökert,schnökerte,geschnökert,schnökerte,schnöker,schnökert,haben,zu schnökern
erkundigen,erkundige,erkundigst,erkundigt,erkundigte,erkundigt,erkundigte,erkundige,erkundigt,haben,zu erkundigen
schlürfen,schlürfe,schlürfst,schlürft,schlürfte,geschlürft,schlürfte,schlürfe,schlürft,haben,zu schlürfen
schlurfen,schlurfe,schlurfst,schlurft,schlurfte,geschlurft,schlurfte,schlurfe,schlurft,sein,zu schlurfen
erkobern,erkobere,erkoberst,erkobert,erkoberte,erkobert,erkoberte,erkober,erkobert,haben,zu erkobern
ankommen,komme an,kommst an,kommt an,kam an,angekommen,käme an,komm an,kommt an,sein,anzukommen
laden,lade,lädst,lädt,lud,geladen,lüde,lade,ladet,haben,zu laden
rügen,rüge,rügst,rügt,rügte,gerügt,rügte,rüge,rügt,haben,zu rügen
wachsen,wachse,wächst,wächst,wuchs,gewachsen,wüchse,wachse,wachst,sein,zu wachsen
waschen,wasche,wäschst,wäscht,wusch,gewaschen,wüsche,wasche,wascht,haben,zu waschen
baden,bade,badest,badet,badete,gebadet,badete,bade,badet,haben,zu baden
allokieren,allokiere,allokierst,allokiert,allokierte,allokiert,allokierte,allokiere,allokiert,haben,zu allokieren
regnen,—,—,regnet,regnete,geregnet,regnete,—,—,haben,zu regnen
hageln,—,—,hagelt,hagelte,gehagelt,hagelte,—,—,haben,zu hageln
betreffen,betreffe,betriffst,betrifft,betraf,betroffen,beträfe,betreffe,betrefft,haben,zu betreffen
disponieren,disponiere,disponierst,disponiert,disponierte,disponiert,disponierte,disponiere,disponiert,haben,zu disponieren
surfen,surfe,surfst,surft,surfte,gesurft,surfte,surfe,surft,haben,zu surfen
reiben,reibe,reibst,reibt,rieb,gerieben,riebe,reibe,reibt,haben,zu reiben
tauchen,tauche,tauchst,taucht,tauchte,getaucht,tauchte,tauche,taucht,sein,zu tauchen
schlickern,schlickere,schlickerst,schlickert,schlickerte,geschlickert,schlickerte,schlickere,schlickert,haben,zu schlickern
validieren,validiere,validierst,validiert,validierte,validiert,validierte,validier,validiert,haben,zu validieren
falsifizieren,falsifiziere,falsifizierst,falsifiziert,falsifizierte,falsifiziert,falsifizierte,falsifiziere,falsifiziert,haben,zu falsifizieren
springen,springe,springst,springt,sprang,gesprungen,spränge,springe,springt,sein,zu springen
prüfen,prüfe,prüfst,prüft,prüfte,geprüft,prüfte,prüf,prüft,haben,zu prüfen
testen,teste,testest,testet,testete,getestet,testete,teste,testet,haben,zu testen
überprüfen,überprüfe,überprüfst,überprüft,überprüfte,überprüft,überprüfte,überprüfe,überprüft,haben,zu überprüfen
abwracken,wracke ab,wrackst ab,wrackt ab,wrackte ab,abgewrackt,wrackte ab,wrack ab,wrackt ab,haben,abzuwracken
umbrechen,breche um,brichst um,bricht um,brach um,umgebrochen,bräche um,brich um,brecht um,haben,umzubrechen
kapitalisieren,kapitalisiere,kapitalisierst,kapitalisiert,kapitalisierte,kapitalisiert,kapitalisierte,kapitalisiere,kapitalisiert,haben,zu kapitalisieren
fretten,frette,frettest,frettet,frettete,gefrettet,frettete,frette,frettet,haben,zu fretten
kauen,kaue,kaust,kaut,kaute,gekaut,kaute,kaue,kaut,haben,zu kauen
mähen,mähe,mähst,mäht,mähte,gemäht,mähte,mähe,mäht,haben,zu mähen
blaken,blake,blakst,blakt,blakte,geblakt,blakte,blake,blakt,haben,zu blaken
unterfertigen,unterfertige,unterfertigst,unterfertigt,unterfertigte,unterfertigt,unterfertigte,unterfertig,unterfertigt,haben,zu unterfertigen
fluchen,fluche,fluchst,flucht,fluchte,geflucht,fluchte,fluche,flucht,haben,zu fluchen
überdenken,überdenke,überdenkst,überdenkt,überdachte,überdacht,überdächte,überdenke,überdenkt,haben,zu überdenken
merken,merke,merkst,merkt,merkte,gemerkt,merkte,merke,merkt,haben,zu merken
werden,werde,wirst,wird,wurde,geworden,würde,werde,werdet,sein,zu werden
abbauen,baue ab,baust ab,baut ab,baute ab,abgebaut,baute ab,baue ab,bauet ab,haben,abzubauen
abbestellen,bestelle ab,bestellst ab,bestellt ab,bestellte ab,abbestellt,bestellte ab,bestell ab,bestellt ab,haben,abzubestellen
