Lemma,Word_Type,Priority,Category,Primary_subcategory,Secondary_subcategory,Sg_all_clean,Pl_all_clean
Developer,s,,gendered,titles,americanism,"['Development', 'Entwicklung', 'Entwicklungsabteilung', 'Developer~in~/~Developer', 'Entwicklerin~/~Entwickler', 'Development-Team', 'Entwicklungsteam']","['Developer~innen~ und ~Developer', 'Entwickler~innen~ und ~Entwickler', 'Development-Team', 'Entwicklungsteam', 'Development', 'Entwicklung', 'Entwicklungsabteilung']"
Diätkoch,s,,gendered,titles,,"['Diätfachkraft', 'Diätküche', 'Diätköch~in~/~Diätkoch', 'Diätfachkräfte', 'Person, die Diätspeisen zubereitet', 'Person, die diätetisch kocht']","['Diätfachkräfte', 'Diätköch~innen~ und ~Diätköche', 'Diätküche', 'Personen, die Diätspeisen zubereiten', 'Personen, die diätetisch kochen']"
Dienstleister,s,,gendered,titles,,"['Dienstleistung', 'Dienstleistungsbetrieb', 'Dienstleister~in~/~Dienstleister', 'Dienstleistungsbetriebe', 'Dienstleistende', 'dienstleistende Person', 'Person im Dientleistungssektor', 'Person, die Dienstleistungen erbringt']","['Dienstleistende', 'Dienstleister~innen~ und ~Dienstleister', 'Dienstleistungsbetriebe', 'Dienstleistung', 'Dienstleistungsbetrieb', 'dienstleistende Personen', 'Personen im Dienstleistungssektor', 'Personen, die Dienstleistungen erbringen']"
Disponent,s,,gendered,titles,,"['Dispo', 'Disponent~in~/~Disponent']",['Dispo']
Drogist,s,,gendered,titles,,"['Drogeriefachkraft', 'Drogerie', 'Drogist~in~/~Drogist', 'Drogeriefachkräfte', 'Drogeriebeschäftigte']","['Drogeriefachkräfte', 'Drogeriebeschäftigte', 'Drogist~innen~ und ~Drogisten', 'Drogerie']"
Drucker,s,,gendered,titles,,"['Druckereifachkraft', 'Druckerei', 'Druck', 'Drucker~in~/~Drucker', 'Druckereibeschäftigte', 'Druckereifachkräfte']","['Druckereibeschäftigte', 'Druckereifachkräfte', 'Drucker~innen~ und ~Drucker', 'Druckerei', 'Druck']"
Eisenbahnbetriebsleiter,s,,gendered,titles,,"['Eisenbahnbetriebsleitung', 'Eisenbahnbetriebsleiter~in~/~Eisenbahnbetriebsleiter']",['Eisenbahnbetriebsleitung']
Eisenbahner,s,,gendered,titles,,['Eisenbahner~in~/~Eisenbahner'],[]
Elektriker,s,,gendered,titles,,"['Elektrofachkraft', 'Fachkraft für Elektrotechnik', 'Elektrik', 'Elektriker~in~/~Elektriker', 'Elektrofachkräfte', 'Fachkräfte für Elektrotechnik']","['Elektrofachkräfte', 'Fachkräfte für Elektrotechnik', 'Elektriker~innen~ und ~Elektriker', 'Elektrik']"
Elektroingenieur,s,,gendered,titles,,"['Elektrotechnik', 'Elektroingenieur~in~/~Elektroingenieur']",['Elektrotechnik']
Elektroniker,s,,gendered,titles,,"['Elektronikfachkraft', 'Elektronikfachperson', 'Elektronik', 'Elektroniker~in~/~Elektroniker', 'Elektronikfachkräfte', 'Elektronikfachpersonen']","['Elektronikfachkräfte', 'Elektronikfachpersonen', 'Elektroniker~innen~ und ~Elektroniker', 'Elektronik']"
Engineer,s,,gendered,titles,americanism,"['auf Hoch-/Fachschule ausgebildete Technik-Fachkraft', 'Engineering', 'Technik', 'Technikwissenschaften', 'Ingenieur~in~/~Ingenieur', 'Engineering-Team']","['Ingenieur~innen~ und ~Ingenieure', 'Engineering-Team', 'Engineering', 'Technik', 'Technikwissenschaften', 'auf einer Hoch-/Fachschule ausgebildete Technik-Fachleute']"
Entwickler,s,,gendered,titles,,"['Entwicklung', 'Entwicklungsabteilung', 'Entwickler~in~/~Entwickler', 'Entwicklungsteam', 'Entwickelnde', '| n/a']","['Entwickelnde', '| Entwickler~innen~ und ~Entwickler', 'Entwicklungsteam', 'Entwicklung', 'Entwicklungsabteilung']"
Experte,s,,gendered,titles,,"['Fachgröße', 'Kapazität', 'Expert~in~/~Experte', 'Fachleute', 'Fachkräfte', 'Fachpersonen', 'Fachkundige', 'Sachverständige', 'Sachkundige', 'Kapazitäten', 'Person vom Fach']","['Fachleute', 'Fachkräfte', 'Fachpersonen', 'Fachkundige', 'Sachverständige', 'Sachkundige', 'Kapazitäten', 'Expert~innen~ und ~Experten', 'Personen vom Fach']"
Fahrzeugtechniker,s,,gendered,titles,,"['Fahrzeugtechnik', 'Fahrzeugtechniker~in~/~Fahrzeugtechniker']","['Fahrzeugtechniker~innen~ und ~Fahrzeugtechniker', 'Fahrzeugtechnik']"
Florist,s,,gendered,titles,,"['Blumenfachkraft', 'Floristik', 'Florist~in~/~Florist', 'Floristik-Team', 'Person, die Blumenschmuck künstlerisch/kreativ gestaltet']","['Florist~innen~ und ~Floristen', 'Floristik-Team', 'Floristik', 'Personen, die Blumenschmuck künstlerisch/kreativ gestalten']"
Fotograf,s,,gendered,titles,,"['Fotografie', 'Fotograf~in~/~Fotograf', 'Fototeam', 'Fotografierende', 'fotografierende Person']","['Fotografierende', 'Fotograf~innen~ und ~Fotografen', 'Fototeam', 'Fotografie', 'fotografierende Personen']"
Frontender,s,,gendered,titles,americanism,"['Front-End-Entwicklung', 'Frontender~in~/~Frontender', 'Frontend-Entwickler~in~/~Frontend-Entwickler', 'Person, die den technischen Oberbau entwickelt']","['Frontender~innen~ und ~Frontender', 'Frontend-Entwickler~innen~ und ~Frontend-Entwickler', 'Front-End-Entwicklung', 'Personen, die den technischen Oberbau entwickeln ']"
